probeID,gene,chromosome,position,beta_delta,p_value,FDR,comparison
cg03390535,CAB39L,13,49402004,-0.0815674869881106,1.0290382738083069e-6,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg15211328,NA,8,10440055,-0.06327639433932941,1.0394063868087748e-6,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg17248730,NA,3,27772201,0.0266082531528032,1.0439288061036753e-6,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg05500035,YAF2,12,42235336,-0.019140344559774626,1.0618094666039948e-6,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg14187777,PJA2,5,109384643,-0.07627242509001064,1.087736632119153e-6,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg09321965,NEK7,1,198232063,-0.04402699502580543,1.0883302924878793e-6,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg03197830,NEO1,15,73079405,-0.03582272577346853,1.1051327862886745e-6,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg14428829,NA,9,107498043,-0.08264611903243134,1.1055915383257672e-6,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg04979397,ZCCHC8,12,122483734,-0.07668349812831797,1.1074998620445674e-6,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg17404760,IMMP2L,7,111018488,-0.037368870670086,1.1194612839693512e-6,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg24599037,KIAA2018,3,113686842,-0.043810173123542503,1.1251748925153772e-6,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg02147208,NA,6,21662417,-0.08040992956819949,1.135249764854695e-6,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg14888192,NA,2,187577468,-0.016088335216107866,1.1357359215128435e-6,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg05138383,A1CF,10,50886642,-0.07048953035012012,1.1576304439496325e-6,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg02678648,OR51B5,11,5368934,-0.04196755197099395,1.173557069456447e-6,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg08547962,TMEM260,14,56608940,-0.05257217919985671,1.1829707962227198e-6,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg12782788,NA,3,187113069,0.02917395540547669,1.1846725642029983e-6,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg20674206,DOCK7,1,62539067,-0.0708779311463151,1.1965384350065165e-6,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg05518778,NA,7,149033051,-0.08850504578745372,1.2050156151951014e-6,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg16023991,TSC22D1,13,44566124,-0.055737585211224086,1.2101679063072634e-6,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg20569424,LOC101927543,8,120761157,-0.03959903936637749,1.2103219485871748e-6,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg26203097,NA,15,79279741,-0.05272608167370853,1.2208214803752142e-6,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg18029202,TM2D1,1,61709588,-0.07603949906478263,1.225858687047206e-6,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg18382401,NA,5,92327817,-0.0678903499903645,1.248459354286848e-6,0.014195508525338003,A1_asthma_vs_nonasthmatic
cg14369015,PDE4D,5,59362611,-0.020820780980450336,1.270867374429505e-6,0.014262630952571503,A1_asthma_vs_nonasthmatic
cg07810770,IFT88,13,20611294,-0.051474436391598745,1.3405131952448173e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg00520708,C5orf24,5,134845576,0.02685950127157987,1.3797018421777245e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg10572565,LOC101928851,4,57426463,-0.06594989777874943,1.393913851648616e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg22338118,PPP1R9A,7,94906691,-0.019928869479475957,1.4258316881869196e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg01891497,NA,11,122440676,0.04262872939228365,1.4320671232197596e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg11507524,NA,5,28468512,0.038540878685584805,1.462204531271349e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg25093891,NA,2,104053105,-0.022630525461518256,1.4672233646315092e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg24682415,DPYD,1,97145147,-0.013022635744029622,1.4692538422048097e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg02762966,NUP98,11,3700938,-0.03156606286037,1.479684351400651e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg05816041,NA,4,87865762,-0.02325118041244718,1.533355399485537e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg17578306,UGT8,4,114597646,-0.08048250106228329,1.575862906971795e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg00072271,RAB3GAP2,1,220198623,-0.014426424056776738,1.581798596986237e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg13195435,LOC283299,11,7889631,-0.06530457270745242,1.5866796157743696e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg23742816,THOC2,23,123613410,-0.0753009295844168,1.5944713702005302e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg19522940,HPGDS,4,94343222,0.023615853821528924,1.616885320485689e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg09449012,NA,15,93452407,-0.023969736538336586,1.6631484809386727e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg15476410,COL3A1,2,188977655,-0.07114942474923618,1.7057396479827238e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg08325124,OR52M1,11,4544245,-0.020480101425378733,1.7222143102041496e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg23496321,NA,4,181476173,-0.0854863053034984,1.7422820344395632e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg02258969,FRYL,4,48606617,-0.022882070164853774,1.743378273253734e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg09929782,STRN3,14,30933306,-0.0783416614590359,1.7572363714158157e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg15001887,CTNNB1,3,41198491,-0.06384024145008148,1.7596153978669813e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg23113308,NA,4,58984297,-0.030539401555290592,1.800172583501501e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg09668276,UBA5,3,132374847,-0.04933928682775578,1.821990270289735e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg10955972,MAPT,17,45898636,-0.027603460032471827,1.8240815385863314e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg10904619,LINC01473,2,186082291,-0.07275528290311799,1.827724371294838e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg16341721,SIL1,5,139011849,-0.03748365682967309,1.8281335238393284e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg18228883,CNBD1,8,87206007,-0.08795755788765956,1.833013459707861e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg01772957,VPS13B,8,100617224,-0.058358423980642116,1.8347458912535387e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg19132586,FRY,13,32264028,-0.04209484754099533,1.856920013088644e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg00981832,SHTN1,10,116960482,-0.04213979988329932,1.8709230768311358e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg23255628,TJP2,9,69245741,-0.09972479484647032,1.8782754830474738e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg18261431,TMEM244,6,129843880,-0.06910459124284606,1.8784175317302144e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg12354032,EPHA5,4,66489396,-0.08254888234647051,1.8811147726554808e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg13396152,NA,1,61539400,-0.021686448380293898,1.9006179177181943e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg22521183,UTRN,6,144585380,-0.06654356160776632,1.914863994931442e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg25187763,CREB1,2,207571628,-0.074217627713867,1.954386951640851e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg19456143,ROR1,1,64068158,-0.04110919495319002,1.9553415746308633e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg06284169,PAK2,3,196739606,0.012881111275944854,1.9699190342411242e-6,0.014305121624180975,A1_asthma_vs_nonasthmatic
cg10928404,NA,14,22089641,-0.02931500395484908,1.9942920112840983e-6,0.0143614285844598,A1_asthma_vs_nonasthmatic
cg19994744,ACADSB,10,123033598,-0.023204595373542185,2.039783006751909e-6,0.014567624502898145,A1_asthma_vs_nonasthmatic
cg10990339,MTA3,2,42714212,-0.046278205858667,2.1321059164742704e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg20642011,NT5C3A,7,33027059,-0.0273910620808824,2.132835207766842e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg26200141,SOCS6,18,70289969,0.013805374497951356,2.142480178961613e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg24907086,SLC2A13,12,40202167,-0.03625129442666775,2.1906622011899535e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg10453481,TCTN1,12,110649075,-0.04592949575890034,2.1908176948366096e-06,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg11363742,NA,12,85958356,-0.08159576377831979,2.195659348631572e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg19369653,SLC25A36,3,140948727,-0.025537019351189204,2.198979826384296e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg13255761,DNA2,10,68419440,-0.033472209924745526,2.2632351927192224e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg24654650,CACNA2D1,7,82343314,-0.01137437800645505,2.2992407562594445e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg25701784,GNAT3,7,80489212,-0.044327102432433936,2.306411351699458e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg21064492,TRIP12,2,230679403,-0.07754260158905485,2.337015812064689e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg02341058,NA,1,152094977,-0.03901917995930883,2.3381112283368165e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg22458336,BNIP2,15,59678146,-0.033120403319056364,2.4104562177457104e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg01501737,RBFOX2,22,35824412,-0.06898293037743417,2.4342116799640836e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg17777998,MIR1183,7,21470863,-0.0823472873167254,2.434528547676206e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg16739160,APPL1,3,57252130,-0.04128958564885938,2.442511907733555e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg26092553,TIAL1,10,119588244,-0.014328207973973137,2.470945287140409e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg18563713,NA,3,84291062,-0.044617227076799604,2.478391333350817e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg08562209,NA,2,204161731,-0.029604985732517384,2.484315040188858e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg17468333,NAV3,12,78092050,-0.09122770943682061,2.4924716654268096e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg02997605,NA,16,9444112,0.025284855419824136,2.493198555936135e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg21925575,APAF1,12,98723229,-0.022410178715702164,2.4970694173915974e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg08956865,NA,8,92607188,-0.04210937558073498,2.501050988345604e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg05237929,NA,1,241463164,-0.04075102472474233,2.5099346893531685e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg22996577,SPICE1,3,113501800,-0.07441888692025124,2.5798011101692256e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg27470654,SNX10,7,26353743,-0.06285684756120591,2.5841176031038593e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg06858239,ACAP2,3,195291745,-0.0708242160660844,2.59960350262036e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg11985862,PAXIP1,7,154985121,-0.01568174045893038,2.6006182991590805e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg20801580,C17orf51,17,21455866,-0.05656643732882593,2.601019230091166e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg26731536,NA,4,114041395,-0.05571138824823666,2.6712949445274114e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg09714950,MDGA2,14,46920097,-0.02482046773770813,2.680057462467574e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg23059229,LINC01515,10,65585387,-0.04331130564173342,2.68452995869767e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg25566787,MIR30C2,6,71377304,-0.0171873401957932,2.6891976388664903e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg04063086,GPR160,3,170056199,-0.03796833910926628,2.7095392597590943e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg04560789,NA,4,188712790,-0.06175819813979931,2.710475433356104e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg02240494,CASC4,15,44290793,-0.03559282560562166,2.7267833541666786e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg22842302,NA,4,117359788,-0.05843131821921701,2.731011628642044e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg07878774,NA,3,77813107,-0.0712583567439625,2.73875710598564e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg26964901,PDE8B,5,77334530,-0.054166506037916555,2.752311612913744e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg01170240,IL22,12,68253794,-0.08372661707546214,2.759268004204414e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg12545533,PTPN22,1,113822312,-0.022309638185588385,2.7971642103923013e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg07510163,PREPL,2,44320174,-0.03490784468950716,2.8204665148587527e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg18214375,ADNP,20,50929004,-0.02947003543353886,2.8275146470195105e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg14102585,NA,2,97775474,-0.0417698327535628,2.8344777789259512e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg21996360,USH2A,1,215767467,-0.01488615907660666,2.842131241125017e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg26517670,TFDP2,3,142145078,-0.08304226825499147,2.8471374590270426e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg04206257,IGSF11,3,118908175,-0.037730119714202995,2.8570926195957777e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg07768078,LOC102724511,6,170162510,0.013413096151220896,2.887381391928479e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg04792443,NA,5,3854059,-0.010615352632581286,2.8895423505210135e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg17622024,NA,4,52680553,-0.019983725933466916,2.904794174814167e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg02100341,NA,18,70448826,-0.026077622799330454,2.916563068379298e-6,0.014568519125237614,A1_asthma_vs_nonasthmatic
cg06598591,GRIP1,12,66372015,-0.016144488226414396,2.9555178670743323e-6,0.014678256757862175,A1_asthma_vs_nonasthmatic
cg07205085,NA,2,220776808,-0.013063206064474666,3.016345301954594e-6,0.014782163998102478,A1_asthma_vs_nonasthmatic
cg00835818,NA,9,81224752,0.061833288587138546,3.0169535024542326e-6,0.014782163998102478,A1_asthma_vs_nonasthmatic
cg01146879,NA,10,44603175,-0.07572818330394528,3.0510404429875736e-6,0.014782163998102478,A1_asthma_vs_nonasthmatic
cg21138486,HS2ST1,1,86931871,-0.09196148802935493,3.053207417525683e-6,0.014782163998102478,A1_asthma_vs_nonasthmatic
cg22477694,HEXB,5,74715431,-0.08487139315837627,3.0812421647760773e-6,0.014782163998102478,A1_asthma_vs_nonasthmatic
cg22993706,NA,8,74630621,-0.04300223901309805,3.1041052405493386e-6,0.014782163998102478,A1_asthma_vs_nonasthmatic
cg10665924,NA,4,186770953,-0.06748799555770346,3.128325478839036e-6,0.014782163998102478,A1_asthma_vs_nonasthmatic
cg12337098,PLAC8L1,5,146104801,-0.016094723971614423,3.1318327287051456e-6,0.014782163998102478,A1_asthma_vs_nonasthmatic
cg21946824,NLGN1,3,173398448,0.03540071278667091,3.145838564694316e-6,0.014782163998102478,A1_asthma_vs_nonasthmatic
cg07705045,NA,5,97476883,-0.06584025850710512,3.147499717238236e-6,0.014782163998102478,A1_asthma_vs_nonasthmatic
cg13495204,ALB,4,73408735,-0.02264148773961518,3.201629338739749e-6,0.014856594484060104,A1_asthma_vs_nonasthmatic
cg18463371,DCHS2,4,154412919,-0.02363170735260555,3.2086394568774716e-6,0.014856594484060104,A1_asthma_vs_nonasthmatic
cg01320942,SNTG2,2,1004509,-0.053934647736595925,3.231280394432518e-6,0.014856594484060104,A1_asthma_vs_nonasthmatic
cg17104562,LRCH1,13,46643465,-0.05957371327083408,3.232116297831052e-6,0.014856594484060104,A1_asthma_vs_nonasthmatic
cg26513913,TH2LCRR,5,132642304,-0.016342300565692476,3.267122258298792e-6,0.01491788578056489,A1_asthma_vs_nonasthmatic
cg19027126,PRMT8,12,3537410,-0.04630778933044438,3.279976553091735e-6,0.01491788578056489,A1_asthma_vs_nonasthmatic
cg12529283,NA,5,89931153,-0.05622185423153094,3.3177102431890463e-6,0.01492774784021178,A1_asthma_vs_nonasthmatic
cg06071332,SLC5A10,17,18970752,-0.08149236291025584,3.342923690538216e-6,0.01492774784021178,A1_asthma_vs_nonasthmatic
cg14378149,NA,9,104502719,-0.0847185643278341,3.345812307813577e-6,0.01492774784021178,A1_asthma_vs_nonasthmatic
cg19463851,TTC39B,9,15299263,-0.07276107905133744,3.353204876175522e-6,0.01492774784021178,A1_asthma_vs_nonasthmatic
cg08737265,DNAH14,1,225240773,-0.07454753109334049,3.368517146105427e-6,0.01492774784021178,A1_asthma_vs_nonasthmatic
cg05728687,NA,7,149032994,-0.04874433774121687,3.463319714145507e-6,0.014968004841461286,A1_asthma_vs_nonasthmatic
cg19308363,NA,12,115852761,-0.06454688680623756,3.4743647841071606e-6,0.014968004841461286,A1_asthma_vs_nonasthmatic
cg19153028,PCDHGB2,5,141359491,-0.06946063017430017,3.5308273974054784e-6,0.014968004841461286,A1_asthma_vs_nonasthmatic
cg00769796,NA,4,100129875,-0.07157495931701431,3.552986458227737e-6,0.014968004841461286,A1_asthma_vs_nonasthmatic
cg23957216,TMEM232,5,110709620,-0.07870835337227858,3.5636296787329308e-6,0.014968004841461286,A1_asthma_vs_nonasthmatic
cg07195907,NHSL2,23,71185985,-0.06024325870435921,3.5856222368744055e-6,0.014968004841461286,A1_asthma_vs_nonasthmatic
cg03503046,ZFPM2,8,105582963,-0.07279991652814531,3.608229711222116e-6,0.014968004841461286,A1_asthma_vs_nonasthmatic
cg08320225,NA,16,54655340,0.021130276911479833,3.6138944610463517e-6,0.014968004841461286,A1_asthma_vs_nonasthmatic
cg03448286,KCNIP4,4,21696630,-0.07951996122460782,3.6251439264179368e-6,0.014968004841461286,A1_asthma_vs_nonasthmatic
cg23267513,STEAP2-AS1,7,89782140,0.03773173454076698,3.6373828433141372e-6,0.014968004841461286,A1_asthma_vs_nonasthmatic
cg27663186,NA,4,66777208,-0.05545523849636193,3.667475508380519e-6,0.014968004841461286,A1_asthma_vs_nonasthmatic
cg14428911,SEMA6D,15,47717731,0.025676596165454438,3.6735012483958684e-6,0.014968004841461286,A1_asthma_vs_nonasthmatic
cg02855558,PTPRN2,7,158107723,0.025461927993573198,3.674161328754218e-6,0.014968004841461286,A1_asthma_vs_nonasthmatic
cg11637980,PGR,11,101129986,0.022124679423383944,3.682840715732189e-6,0.014968004841461286,A1_asthma_vs_nonasthmatic
cg25363927,SLC4A5,2,74313331,-0.032829087838186,3.7111987640287452e-6,0.014968004841461286,A1_asthma_vs_nonasthmatic
cg07236367,SLC35F1,6,117923292,-0.05732091615225086,3.7204109482212076e-6,0.014968004841461286,A1_asthma_vs_nonasthmatic
ch.3.89013645F,NA,3,88881805,0.026128717473446035,3.755509660888894e-6,0.014968004841461286,A1_asthma_vs_nonasthmatic
cg01341655,NA,4,61336576,-0.035102095460959645,3.758558188757903e-6,0.014968004841461286,A1_asthma_vs_nonasthmatic
cg25719137,GPATCH2,1,217491859,-0.0643712621878562,3.760703860115228e-6,0.014968004841461286,A1_asthma_vs_nonasthmatic
cg20427859,NA,4,82018469,-0.04877215020562206,3.7798499696890064e-6,0.014968004841461286,A1_asthma_vs_nonasthmatic
cg08141722,OR2AT4,11,75091002,-0.025702292672392428,3.803742308680606e-6,0.014968004841461286,A1_asthma_vs_nonasthmatic
cg07211155,ARHGAP15,2,143602187,-0.03294112378042407,3.818186524078412e-6,0.014968004841461286,A1_asthma_vs_nonasthmatic
cg11508528,NA,2,129253463,-0.0550258148096548,3.83844648978047e-6,0.014968004841461286,A1_asthma_vs_nonasthmatic
