probeID,gene,chromosome,position,beta_delta,p_value,FDR,comparison
cg04968217,NA,15,58307339,-0.0672131768827045,7.088137300843225e-8,0.002355856932614721,C1_severe_atopic_vs_rest
cg03181373,PDPR,16,70151549,-0.036323512516528725,8.002400839112774e-8,0.0025612187740448084,C1_severe_atopic_vs_rest
cg12842511,PTPRE,10,128052933,-0.061159707171734586,1.0321795903885339e-7,0.002689304469586221,C1_severe_atopic_vs_rest
cg08086385,RYBP,3,72381060,-0.10360051719173988,1.0377209759919347e-7,0.002689304469586221,C1_severe_atopic_vs_rest
cg13698578,PRKCH,14,61516085,-0.05298371344464102,1.0448533093010747e-7,0.002689304469586221,C1_severe_atopic_vs_rest
cg02179849,KANSL1,17,46046255,-0.078883462729224,1.0721193852087878e-7,0.002689304469586221,C1_severe_atopic_vs_rest
cg14617280,CREG1,1,167542869,-0.10662259387743259,1.0975496886708497e-7,0.002689304469586221,C1_severe_atopic_vs_rest
cg01963353,FKBP1A,20,1378231,-0.07972208113209252,1.1338469985082593e-7,0.002689304469586221,C1_severe_atopic_vs_rest
cg02865193,AKAP1,17,57106584,-0.08166476207319649,1.1480476174607227e-7,0.002689304469586221,C1_severe_atopic_vs_rest
cg19466875,AUTS2,7,69603082,-0.03197729997140592,1.2078227967208775e-7,0.002689304469586221,C1_severe_atopic_vs_rest
cg18645861,NA,1,160539778,-0.0651871954570906,1.2155893411899151e-7,0.002689304469586221,C1_severe_atopic_vs_rest
cg17248139,FLJ34503,6,113920710,-0.04016422574883219,1.2523986601862095e-7,0.002689304469586221,C1_severe_atopic_vs_rest
cg01627992,URI1,19,29941253,-0.0719566172440067,1.2722361708193425e-7,0.002689304469586221,C1_severe_atopic_vs_rest
cg19833642,ZNF521,18,25329109,-0.02307503378894645,1.2832967478381125e-7,0.002689304469586221,C1_severe_atopic_vs_rest
cg26529864,BOLA3,2,74148776,-0.044010146594563655,1.289678674096147e-7,0.002689304469586221,C1_severe_atopic_vs_rest
cg03437605,RHOBTB2,8,22989696,-0.05559364321984396,1.298382059595025e-7,0.002689304469586221,C1_severe_atopic_vs_rest
cg16660617,ZNRF1,16,75003686,-0.05786560080588463,1.3296702504571256e-7,0.002689304469586221,C1_severe_atopic_vs_rest
cg02633149,METRNL,17,83084906,-0.06914000564245092,1.33819157037428e-7,0.002689304469586221,C1_severe_atopic_vs_rest
cg05180182,NA,10,3624563,-0.07429158769024882,1.3950858172456246e-7,0.002739923179873729,C1_severe_atopic_vs_rest
cg09083139,SMURF2,17,64641631,-0.03380487229965716,1.5529130162393227e-7,0.002982117530687207,C1_severe_atopic_vs_rest
cg17519037,MRPL45,17,36452075,-0.06044000061266358,1.5875471620841566e-7,0.0029823522939333652,C1_severe_atopic_vs_rest
cg20844989,ACSM6,10,95196126,-0.05206501076683164,1.6714774223387265e-7,0.003073213952061394,C1_severe_atopic_vs_rest
cg26057482,HMGXB3,5,150050361,-0.09003610839109445,1.7950073751202587e-7,0.0032315816942185874,C1_severe_atopic_vs_rest
cg21500092,UBE2G1,17,4341911,-0.08063239892560911,1.8892418125010014e-7,0.0033318205933803376,C1_severe_atopic_vs_rest
cg16730961,SERINC5,5,80204430,-0.02726271987541091,1.9719431341637512e-7,0.003408117206547748,C1_severe_atopic_vs_rest
cg20620049,NA,12,64534989,-0.034729457632275584,2.015593215497311e-7,0.0034152527614871218,C1_severe_atopic_vs_rest
cg26559621,TKT,3,53241887,-0.031427881200261534,2.1612593592567619e-7,0.0035916473035008637,C1_severe_atopic_vs_rest
cg10158330,CDYL2,16,80615063,-0.027150974852138025,2.2233886808456728e-7,0.0036251807081700937,C1_severe_atopic_vs_rest
cg18943946,ZZEF1,17,4008771,-0.05435770884713524,2.4166192933786706e-7,0.0038512959268778833,C1_severe_atopic_vs_rest
cg15710961,DST,6,56707793,-0.058316886143069374,2.451203908320337e-7,0.0038512959268778833,C1_severe_atopic_vs_rest
cg17603188,PLD5,1,242188827,-0.0440503343031742,2.5125118613791236e-7,0.003860760454764621,C1_severe_atopic_vs_rest
cg09486450,PDE6A,5,149915806,-0.0594009730622934,2.584747232461924e-7,0.003860760454764621,C1_severe_atopic_vs_rest
cg11134013,RALGDS,9,133136079,-0.05102946667064161,2.5912583246506173e-7,0.003860760454764621,C1_severe_atopic_vs_rest
cg20861649,SLC12A4,16,67944229,-0.03819053105212379,2.7065046067200236e-7,0.0039011323993884284,C1_severe_atopic_vs_rest
cg14898318,OPA3,19,46045657,-0.10894100889537513,2.7086432012343396e-7,0.0039011323993884284,C1_severe_atopic_vs_rest
cg01258949,C11orf49,11,47071441,-0.04522881377015518,2.828632184108941e-7,0.003982069215544254,C1_severe_atopic_vs_rest
cg15634144,RREB1,6,7119709,-0.0958437347036978,2.9005853791653653e-7,0.003982069215544254,C1_severe_atopic_vs_rest
cg12337605,TRIO,5,14477064,-0.032423229273705986,2.934656033660402e-7,0.003982069215544254,C1_severe_atopic_vs_rest
cg10704177,INADL,1,62209607,-0.12062939485568729,3.0115947862209646e-7,0.003982069215544254,C1_severe_atopic_vs_rest
cg13290417,OGDH,7,44670945,-0.08328973565884434,3.02176226224079e-7,0.003982069215544254,C1_severe_atopic_vs_rest
cg13587621,BICD2,9,92735702,-0.0646880244397665,3.0413233809089227e-7,0.003982069215544254,C1_severe_atopic_vs_rest
cg01278651,NPRL3,16,120123,-0.027012377688717358,3.325001979521362e-7,0.004288518075533349,C1_severe_atopic_vs_rest
cg07066120,NA,10,122544160,-0.12471141324194021,3.533674077067041e-7,0.004454062833266012,C1_severe_atopic_vs_rest
cg07415654,ANKRD28,3,15756343,-0.023250136383132784,3.5564383985150155e-7,0.004454062833266012,C1_severe_atopic_vs_rest
cg05642098,BRE,2,28327890,-0.08208479913159575,3.67403049174766e-7,0.004535601139292462,C1_severe_atopic_vs_rest
cg17489791,TVP23B,17,18689481,-0.0860779566496855,3.789596593484417e-7,0.004543443726289389,C1_severe_atopic_vs_rest
cg02856510,NA,2,191178885,-0.08823664507542307,3.830529903836168e-7,0.004543443726289389,C1_severe_atopic_vs_rest
cg08368905,KIF1B,1,10381088,-0.059610090440021184,3.8381140357150753e-7,0.004543443726289389,C1_severe_atopic_vs_rest
cg10113951,MAML1,5,179773572,-0.0473235227588331,3.9676461573729504e-7,0.004632101294083699,C1_severe_atopic_vs_rest
cg18817654,NA,15,39192937,-0.03541228355730668,4.041404623375057e-7,0.004632101294083699,C1_severe_atopic_vs_rest
cg14080050,B4GALT1,9,33159027,0.0753953634832967,4.0848201242435896e-7,0.004632101294083699,C1_severe_atopic_vs_rest
cg12154164,PTAFR,1,28158023,-0.092809521256805,4.1367709096292284e-7,0.004632101294083699,C1_severe_atopic_vs_rest
cg26150263,NA,2,161067945,-0.05566913824857518,4.3108093572689686e-7,0.004632101294083699,C1_severe_atopic_vs_rest
cg09458420,CAB39,2,230796602,-0.09347529942207805,4.340778829678811e-7,0.004632101294083699,C1_severe_atopic_vs_rest
cg21686287,EXOC6B,2,72794219,-0.04272876841970453,4.366781555564087e-7,0.004632101294083699,C1_severe_atopic_vs_rest
cg05295635,INPP5D,2,233966797,-0.05190061135257295,4.371996575580384e-7,0.004632101294083699,C1_severe_atopic_vs_rest
cg07862235,NA,8,122718465,-0.050425585558924804,4.407004628727632e-7,0.004632101294083699,C1_severe_atopic_vs_rest
cg14401395,C7orf43,7,100156004,-0.08212901525114993,4.4490368292724774e-7,0.004632101294083699,C1_severe_atopic_vs_rest
cg26145152,NA,1,67697926,-0.06688764526582734,4.527596043056546e-7,0.004657775209285,C1_severe_atopic_vs_rest
cg12734151,NA,18,35442016,-0.09397218877945222,4.654457208175992e-7,0.0046632563227605745,C1_severe_atopic_vs_rest
cg22259880,NA,12,110098725,-0.0472385722438004,4.661931248985661e-7,0.0046632563227605745,C1_severe_atopic_vs_rest
cg14963666,PTH2R,2,208489856,-0.07028499778313096,4.6948141077052414e-7,0.0046632563227605745,C1_severe_atopic_vs_rest
cg05490881,DLST,14,74888420,-0.057608853721216,4.847057521253607e-7,0.004709593506008213,C1_severe_atopic_vs_rest
cg07730263,ITIH1,3,52776243,-0.06595845892859165,4.850464062279911e-7,0.004709593506008213,C1_severe_atopic_vs_rest
cg05664105,GRK5,10,119246705,-0.028678007575651438,4.905058811558704e-7,0.004709684869028975,C1_severe_atopic_vs_rest
cg01881464,NA,21,32731768,-0.020262197791138976,5.026429906998458e-7,0.004754045932328141,C1_severe_atopic_vs_rest
cg06592918,PQLC1,18,79943051,-0.11300127218851239,5.061288127252949e-7,0.004754045932328141,C1_severe_atopic_vs_rest
cg18492526,BIN3,8,22651289,-0.08648600967061362,5.172753012709304e-7,0.00480649985100943,C1_severe_atopic_vs_rest
cg18537383,MCPH1,8,6576254,-0.055824095108110115,5.277248079335275e-7,0.004815180215921286,C1_severe_atopic_vs_rest
cg13264822,CREB3L2,7,137880544,-0.06740036746987642,5.344265297914768e-7,0.004815180215921286,C1_severe_atopic_vs_rest
cg11996592,ZC3H3,8,143494924,-0.05122809409418735,5.389534211061966e-7,0.004815180215921286,C1_severe_atopic_vs_rest
cg08559734,CD9,12,6222892,-0.08008465971813734,5.437438217527246e-7,0.004815180215921286,C1_severe_atopic_vs_rest
cg16588712,DLG5,10,79619316,-0.03775802825287167,5.460702065843578e-7,0.004815180215921286,C1_severe_atopic_vs_rest
cg22158603,AXIN1,16,337629,-0.07487298701752931,5.683025752942915e-7,0.004960604111572855,C1_severe_atopic_vs_rest
cg09800745,NA,12,104414797,-0.06746029209938587,5.747933357120729e-7,0.004967088106422593,C1_severe_atopic_vs_rest
cg24823912,ALDH2,12,111777978,0.1435029726740053,6.378429952571895e-7,0.0054189828431104835,C1_severe_atopic_vs_rest
cg17218818,NA,2,86157952,-0.0540230022389709,6.396285028528191e-7,0.0054189828431104835,C1_severe_atopic_vs_rest
cg17718238,ACSL1,4,184823177,-0.06490402407924628,6.821511604544633e-7,0.00566325864247394,C1_severe_atopic_vs_rest
cg06795981,CLC,19,40228577,-0.07243073152064163,6.968971609966655e-7,0.00566325864247394,C1_severe_atopic_vs_rest
cg11522179,NA,17,21273151,-0.07629436708484323,7.000136523436138e-7,0.00566325864247394,C1_severe_atopic_vs_rest
cg01116831,NA,16,2140355,-0.07055540985890453,7.004364806151559e-7,0.00566325864247394,C1_severe_atopic_vs_rest
cg08005568,GLT8D1,3,52703807,-0.029105044125933243,7.012292683980498e-7,0.00566325864247394,C1_severe_atopic_vs_rest
cg12401522,SLMAP,3,57805695,-0.025667752038034907,7.090599665900218e-7,0.00567347766896945,C1_severe_atopic_vs_rest
cg12380988,ANAPC11,17,79851485,-0.07748294218158178,7.482838022433443e-7,0.0059323939841852335,C1_severe_atopic_vs_rest
cg15993159,PITPNC1,17,67467925,-0.0324854936770164,7.616161962184714e-7,0.005983201447223496,C1_severe_atopic_vs_rest
cg17597583,NA,2,9831305,-0.09544320912149223,7.741834132282663e-7,0.006026760151252762,C1_severe_atopic_vs_rest
cg17287013,BTRC,10,101380115,-0.082601066887727,7.874459431244803e-7,0.006026760151252762,C1_severe_atopic_vs_rest
cg06164953,NA,1,26546574,-0.05700399374052663,7.880834588030372e-7,0.006026760151252762,C1_severe_atopic_vs_rest
cg23911543,SLC45A4,8,141228695,-0.09635697389508517,8.129130721865899e-7,0.006162109273299877,C1_severe_atopic_vs_rest
cg09166450,FBXW8,12,117000402,-0.10079603610350168,8.227513176571956e-7,0.006182453883966095,C1_severe_atopic_vs_rest
cg13070738,ARHGEF5,7,144054288,-0.05221394851790068,8.525236616115728e-7,0.006278736033336739,C1_severe_atopic_vs_rest
cg15197144,FZR1,19,3521012,-0.09968570712013734,8.52640272683273e-7,0.006278736033336739,C1_severe_atopic_vs_rest
cg13572592,NA,12,46776425,-0.047450469382071134,8.620610675135885e-7,0.006278736033336739,C1_severe_atopic_vs_rest
cg15341243,LINC01214,3,150324995,-0.07316336733172668,8.707030797143608e-7,0.006278736033336739,C1_severe_atopic_vs_rest
cg25602071,NA,6,142693805,-0.05039147922275017,8.718932826637081e-7,0.006278736033336739,C1_severe_atopic_vs_rest
cg22587211,NA,6,32883945,0.06914473370545648,9.137039328924728e-7,0.00652544695055286,C1_severe_atopic_vs_rest
cg17624978,SMYD3,1,246011807,-0.02051087398031694,9.220717714674477e-7,0.006527092750270787,C1_severe_atopic_vs_rest
cg04880269,GEMIN5,5,154937203,-0.028772457702587847,9.290407339024926e-7,0.006527092750270787,C1_severe_atopic_vs_rest
cg10447853,ADIPOR1,1,202956243,-0.019960119715848344,9.543538330270395e-7,0.006650861076757921,C1_severe_atopic_vs_rest
cg03214468,MIR4633,5,129096796,-0.057488602006721914,9.797316935739836e-7,0.006722661518593965,C1_severe_atopic_vs_rest
cg16760840,CHP1,15,41233637,-0.07131217420803018,9.80215692774928e-7,0.006722661518593965,C1_severe_atopic_vs_rest
cg09505426,ZC3H7A,16,11792694,-0.08549862980040852,1.0173708684967306e-6,0.00692254386419832,C1_severe_atopic_vs_rest
cg05310072,PAM16,16,4347894,-0.05002062071464177,1.0435597738315057e-6,0.007045267700594088,C1_severe_atopic_vs_rest
cg14655553,P2RY2,11,73221034,-0.07798039670561933,1.0535535902212136e-6,0.0070576003263321105,C1_severe_atopic_vs_rest
cg22865069,RPS6KA2,6,166750160,-0.0740560120112806,1.0731690863659255e-6,0.007119054412877239,C1_severe_atopic_vs_rest
cg05271710,NA,6,139611579,-0.049341097773080295,1.0792038068382857e-6,0.007119054412877239,C1_severe_atopic_vs_rest
cg09227119,C20orf118,20,36876000,-0.09836321089846665,1.093426423928535e-6,0.00715823205371736,C1_severe_atopic_vs_rest
cg18387316,NA,2,226137655,-0.09658229415098853,1.1188799261100101e-6,0.007238134334895649,C1_severe_atopic_vs_rest
cg14382708,LPCAT3,12,6996518,-0.037355604576648334,1.1223835631648333e-6,0.007238134334895649,C1_severe_atopic_vs_rest
cg22494377,GAB2,11,78311965,-0.03463685002151502,1.1449343667958308e-6,0.007318747445305808,C1_severe_atopic_vs_rest
cg03079679,NA,5,142530162,-0.07435098454478212,1.181309740397753e-6,0.007318747445305808,C1_severe_atopic_vs_rest
cg12498017,TRERF1,6,42230843,-0.062218728469588605,1.1816209507762115e-6,0.007318747445305808,C1_severe_atopic_vs_rest
cg04549076,PRG2,11,57390035,-0.07453385951263096,1.184670281180473e-6,0.007318747445305808,C1_severe_atopic_vs_rest
cg12350164,NA,1,117655321,-0.07252827962007971,1.185260407738012e-6,0.007318747445305808,C1_severe_atopic_vs_rest
cg08761605,PDE4D,5,59358367,-0.04380798800071499,1.1856995555675543e-6,0.007318747445305808,C1_severe_atopic_vs_rest
cg02543556,PNN,14,39174241,-0.08151380585807061,1.209013317460205e-6,0.007409725363899795,C1_severe_atopic_vs_rest
cg17518643,UBAC2,13,99317019,-0.03890482571253813,1.2242722646640135e-6,0.007424352240272355,C1_severe_atopic_vs_rest
cg14947564,CAPG,2,85398015,-0.10102400705437953,1.228582900183008e-6,0.007424352240272355,C1_severe_atopic_vs_rest
cg01552966,DNMT3A,2,25305461,-0.08171178278175609,1.2770654521906928e-6,0.007635893187802999,C1_severe_atopic_vs_rest
cg12548264,GRAMD1B,11,123558816,-0.024409096777670614,1.2957333143430092e-6,0.007635893187802999,C1_severe_atopic_vs_rest
cg18536308,NA,17,45334716,-0.06376427078267535,1.2980330933567893e-6,0.007635893187802999,C1_severe_atopic_vs_rest
cg03724728,THRA,17,40074946,-0.048811145765568865,1.3142254580842513e-6,0.007635893187802999,C1_severe_atopic_vs_rest
cg21672524,ETFB,19,51858253,-0.061499857838509704,1.3258189321655752e-6,0.007635893187802999,C1_severe_atopic_vs_rest
cg24627621,C6orf132,6,42141438,-0.09941678565419435,1.3261688886011057e-6,0.007635893187802999,C1_severe_atopic_vs_rest
cg14092802,PIK3IP1-AS1,22,31337218,-0.05072263766491119,1.3355078623744564e-6,0.007635893187802999,C1_severe_atopic_vs_rest
cg02640489,PNKD,2,218289212,-0.06980461767113151,1.340151425471431e-6,0.007635893187802999,C1_severe_atopic_vs_rest
cg26431230,RNF103,2,86852158,-0.03815871263376113,1.3508955018691347e-6,0.007635893187802999,C1_severe_atopic_vs_rest
cg17328356,ZNRF2,7,30349423,-0.057220467862253176,1.3600711231071555e-6,0.007635893187802999,C1_severe_atopic_vs_rest
cg18355997,TLDC2,20,36875932,-0.08240096672166929,1.3697991181216727e-6,0.007635893187802999,C1_severe_atopic_vs_rest
cg01378515,HEG1,3,125054262,-0.05545625624015667,1.3719034810683909e-6,0.007635893187802999,C1_severe_atopic_vs_rest
cg17179455,ETS1,11,128476906,-0.10573716654801013,1.386382622057632e-6,0.007635893187802999,C1_severe_atopic_vs_rest
cg04180953,DSC1,18,31163111,-0.06329903318389363,1.3872967145653439e-6,0.007635893187802999,C1_severe_atopic_vs_rest
cg08420885,EP400,12,131959319,-0.04685065216798006,1.421999370858202e-6,0.0076860921242532815,C1_severe_atopic_vs_rest
cg26252077,NFIA,1,61141383,-0.0896927830389913,1.4229869686103162e-6,0.0076860921242532815,C1_severe_atopic_vs_rest
cg14248318,CKLF,16,66563464,-0.04937587052484627,1.4231000331892134e-6,0.0076860921242532815,C1_severe_atopic_vs_rest
cg17030628,IL20,1,206865663,-0.03509726087791628,1.450307160454197e-6,0.007731180659371928,C1_severe_atopic_vs_rest
cg24534006,PRKCB,16,23866286,-0.04233267257890503,1.4528667051213342e-6,0.007731180659371928,C1_severe_atopic_vs_rest
cg11568374,NA,2,63788204,-0.06826809953491234,1.4582879487377502e-6,0.007731180659371928,C1_severe_atopic_vs_rest
cg22235258,EHF,11,34653855,-0.09875529807345297,1.478568602265899e-6,0.007758663253940702,C1_severe_atopic_vs_rest
cg22080845,NA,10,43415676,-0.03950656820153059,1.4970477463793469e-6,0.007758663253940702,C1_severe_atopic_vs_rest
cg10046114,TTC7B,14,90805694,-0.08195041282504976,1.5067234946323016e-6,0.007758663253940702,C1_severe_atopic_vs_rest
cg11534339,FARSA,19,12929658,-0.03824392921445544,1.508335821645746e-6,0.007758663253940702,C1_severe_atopic_vs_rest
cg18200389,TRIM26,6,30202563,-0.07547440199238746,1.5083636057800456e-6,0.007758663253940702,C1_severe_atopic_vs_rest
cg17144361,DENND5A,11,9251621,-0.056654692705666435,1.5413290182684262e-6,0.007881316886359154,C1_severe_atopic_vs_rest
cg23926497,DPPA3,12,7710290,-0.026056989867783306,1.56773238600732e-6,0.007969171040194104,C1_severe_atopic_vs_rest
cg03693099,CEL,9,133061514,-0.08360953164697063,1.5916374301516445e-6,0.00802266468833548,C1_severe_atopic_vs_rest
cg14014370,SLC12A6,15,34319527,-0.05926493608890057,1.5968236217629566e-6,0.00802266468833548,C1_severe_atopic_vs_rest
cg11495812,NA,22,32464453,-0.053437044502622995,1.615731142780364e-6,0.008067897915611974,C1_severe_atopic_vs_rest
cg14613878,C20orf118,20,36875795,-0.0864247343893919,1.6244992053672079e-6,0.008067897915611974,C1_severe_atopic_vs_rest
cg22494062,PARK7,1,8025379,-0.027215174940216035,1.6365064604278087e-6,0.008081087604523496,C1_severe_atopic_vs_rest
cg19069660,SCGN,6,25671212,-0.035771878703501826,1.6571311080150272e-6,0.008110455090702847,C1_severe_atopic_vs_rest
cg02068052,NA,19,15325286,-0.06870362231504958,1.6658630382945042e-6,0.008110455090702847,C1_severe_atopic_vs_rest
cg25975995,GATB,4,151687259,-0.07869935717273153,1.6780434212952076e-6,0.008110455090702847,C1_severe_atopic_vs_rest
cg06824199,KIAA0494,1,46692137,-0.04893182799655575,1.679995488335165e-6,0.008110455090702847,C1_severe_atopic_vs_rest
cg16899419,MTMR3,22,29946435,-0.0650994772516328,1.6937862020377062e-6,0.008131604078129379,C1_severe_atopic_vs_rest
cg18115488,RNF144A,2,6927105,-0.05114423188072419,1.7126469364851914e-6,0.008176725278771,C1_severe_atopic_vs_rest
cg04501943,NA,12,110766395,-0.07127517679850721,1.7247497460298816e-6,0.008189263420501176,C1_severe_atopic_vs_rest
cg11770323,NDFIP2,13,79491897,-0.09746358706076796,1.7496919106288462e-6,0.008262293792096934,C1_severe_atopic_vs_rest
cg14667514,NA,17,34239214,-0.04672524499494174,1.7787741938143185e-6,0.008353974332244734,C1_severe_atopic_vs_rest
cg18529857,NA,1,120809607,-0.0568325579521829,1.800586606431258e-6,0.00837552716032458,C1_severe_atopic_vs_rest
cg13212049,NA,6,13992800,-0.0499673802707125,1.8027477247294133e-6,0.00837552716032458,C1_severe_atopic_vs_rest
cg26352718,NA,7,35984781,-0.045704129478584786,1.8842958344979328e-6,0.00864952194930481,C1_severe_atopic_vs_rest
cg10721256,LOC100505942,16,67526653,-0.028178270215705483,1.8957860081491032e-6,0.00864952194930481,C1_severe_atopic_vs_rest
cg02091562,BRD8,5,138171086,-0.027091615264579587,1.9048226484774913e-6,0.00864952194930481,C1_severe_atopic_vs_rest
cg07496152,IGSF3,1,117160732,-0.06802741655392675,1.9400178025071996e-6,0.00864952194930481,C1_severe_atopic_vs_rest
cg18543521,MON2,12,62485160,-0.06190341681818871,1.9482978739238396e-6,0.00864952194930481,C1_severe_atopic_vs_rest
cg02582023,MAPKAPK2,1,206717078,-0.07401538266549175,1.9487155524226865e-6,0.00864952194930481,C1_severe_atopic_vs_rest
cg15004902,UBR4,1,19179079,-0.0718903395536085,1.9531315375502054e-6,0.00864952194930481,C1_severe_atopic_vs_rest
cg00491149,TMEM117,12,43834441,-0.04826178964634297,1.9596844525090926e-6,0.00864952194930481,C1_severe_atopic_vs_rest
cg07345250,ACOT7,1,6343219,-0.0384192818876229,1.9655598277486305e-6,0.00864952194930481,C1_severe_atopic_vs_rest
cg17084751,ZNF215,11,6932327,-0.059736286190148466,1.966104946137694e-6,0.00864952194930481,C1_severe_atopic_vs_rest
cg19876836,TNIK,3,171445826,-0.014319740574338382,1.980280982975092e-6,0.00864952194930481,C1_severe_atopic_vs_rest
cg13408940,BCL11A,2,60506053,-0.031896476463085126,1.997381074559767e-6,0.00864952194930481,C1_severe_atopic_vs_rest
cg10730362,RPS6KA4,11,64358127,-0.03906233332793192,2.002731050705861e-6,0.00864952194930481,C1_severe_atopic_vs_rest
cg27215768,PIK3AP1,10,98425148,-0.029230737140118562,2.0029425009263588e-6,0.00864952194930481,C1_severe_atopic_vs_rest
cg08653021,F5,1,169556712,-0.022431428756344917,2.034529183184428e-6,0.00864952194930481,C1_severe_atopic_vs_rest
cg11209521,GNG12,1,67743472,-0.0509479709897153,2.0378873486688793e-6,0.00864952194930481,C1_severe_atopic_vs_rest
cg24376793,PPP1R12B,1,202576461,-0.09216326426312844,2.0500615936744898e-6,0.00864952194930481,C1_severe_atopic_vs_rest
cg23642826,ZBTB48,1,6585403,-0.06291918557478986,2.0592348794410692e-6,0.00864952194930481,C1_severe_atopic_vs_rest
cg18718881,NDST2,10,75569012,-0.05528203689055225,2.0681357210081e-6,0.00864952194930481,C1_severe_atopic_vs_rest
cg20378916,VPS39,15,42164773,-0.05835561693474616,2.069089794728285e-6,0.00864952194930481,C1_severe_atopic_vs_rest
cg15134174,SH3RF1,4,169100923,-0.05871828997781504,2.0719167964734164e-6,0.00864952194930481,C1_severe_atopic_vs_rest
cg20636743,NA,6,34277491,-0.06833408452702795,2.1052158790817326e-6,0.00866001396088119,C1_severe_atopic_vs_rest
cg22811930,NA,18,10072798,0.06334300739724182,2.1054251847723654e-6,0.00866001396088119,C1_severe_atopic_vs_rest
cg13353793,NA,2,85717609,-0.05442652046298597,2.117422830072347e-6,0.00866001396088119,C1_severe_atopic_vs_rest
cg04317648,LOC102724552,1,8425316,-0.09210186313736016,2.126254656279582e-6,0.00866001396088119,C1_severe_atopic_vs_rest
cg22905973,NA,5,138476631,-0.048168959059113996,2.129768289207324e-6,0.00866001396088119,C1_severe_atopic_vs_rest
cg17964352,NA,6,111276708,-0.044385085061727655,2.1397725376856584e-6,0.00866001396088119,C1_severe_atopic_vs_rest
cg04085699,PLCB3,11,64258552,-0.035304165996264465,2.1445798744070195e-6,0.00866001396088119,C1_severe_atopic_vs_rest
cg17487617,METRNL,17,81041756,-0.07984630855105408,2.1649143539422213e-6,0.008690152517415336,C1_severe_atopic_vs_rest
cg26369382,TFR2,7,100642718,-0.08765586807415837,2.1808117796731646e-6,0.008690152517415336,C1_severe_atopic_vs_rest
cg16917269,NA,20,49307121,-0.05969151861581909,2.182212268535082e-6,0.008690152517415336,C1_severe_atopic_vs_rest
cg09700170,WDR7,18,56660775,-0.03905601981869906,2.2004859103338884e-6,0.00869446022710709,C1_severe_atopic_vs_rest
